Destination Port,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length,Label
48385.0,319440.2255019227,146.0,372.0,358842.36641235236,488685.9596029467,1201.751038872409,9.437426441254201,621.4237390887482,37.36147990239436,625280.4759147954,5336.266288568474,1953.7173076771805,6504.25335496368,29346.643326469595,63335.49125899498,1.0,0.0,118.34715689498285,100.96258228249648,BENIGN
22034.0,348260.91035492707,283.0,295.0,427702.31394614413,492264.97490205086,946.5775287118919,23.313558786819154,744.7538773614199,38.09025636610099,533489.445730446,4483.693274905637,4074.5779530441305,7997.074615499336,36370.23498153376,70048.1130170369,1.0,0.0,58.50218190476896,88.11518289711542,BENIGN
20116.0,573822.1630037103,291.0,251.0,291522.9009401542,497672.81887587206,586.9331191844603,44.54037424321228,640.0129329304319,27.55957527177057,569371.4816741353,5041.255537102135,4210.404486523878,5927.013812928587,52283.41028512293,62611.31614723473,0.0,0.0,111.26473209898371,56.02389550692713,MALICIOUS
46091.0,424752.3114115772,249.0,222.0,284900.98530456447,554617.6704877734,515.7817502491014,21.44038863540706,845.6984855255326,34.97425548304573,554106.1670331461,4608.654858906189,4459.31995199034,6366.0420103466195,60237.949016218554,65758.29604496069,0.0,0.0,99.60367720796137,83.97219155350865,MALICIOUS
34223.0,341030.2292030393,339.0,110.0,511059.7537467687,348105.4597526528,467.63483959148556,25.535004034911033,444.9337248401487,11.195917901714072,315985.83788828185,6082.8646988854,3840.6787066826682,5134.103293824696,49163.5155130092,46110.34637460223,1.0,0.0,116.61587506418299,79.5190530897315,BENIGN
33209.0,576562.1245574591,274.0,146.0,337787.5707168398,331561.97058990377,248.3282126638569,30.285257088718303,820.5095679780884,23.942742846824984,464466.8411370585,6614.499538262193,5069.885853134411,4632.564566860646,52819.74106365909,52903.92730296889,0.0,0.0,113.47772818876396,91.79982068568575,MALICIOUS
25955.0,404953.0788443505,372.0,192.0,586283.1293692436,645201.6491911475,740.4033292442831,30.16828604988845,429.90569434127497,17.929366107111804,383933.1090079041,6342.8265567669505,3163.764639537946,6994.22994076337,28790.805777875583,52960.44062504792,0.0,0.0,125.08784446643193,90.44963756189274,BENIGN
32656.0,528401.0754648711,280.0,236.0,443802.4851676356,460001.7927266827,1161.7975687231005,40.50450698257986,442.3598802431627,34.587409619706236,491404.7572220361,4565.174772942449,4070.5292718948363,5299.609294517302,55959.20645460278,43857.33801824104,1.0,1.0,70.40210961967658,84.95712350401033,BENIGN
30857.0,367937.4199731322,259.0,245.0,407670.37929987523,557422.4393918284,727.5044514627483,15.432915075408653,604.3501920779198,29.033258196374376,421404.16392288974,3572.00049696674,3790.329335932134,5220.339083978473,61832.951357776954,55107.6730891787,0.0,0.0,61.98404467123607,110.07315241452598,BENIGN
33695.0,709645.9069551993,316.0,63.0,574140.1008222388,671109.3738245015,300.43152154591115,30.568555722693073,1177.2055570379862,33.32350172452525,142422.11894467857,6884.767365389448,7564.243706463449,4033.4532348478992,59653.80366321703,46665.46293287134,1.0,0.0,116.78699300365297,93.7569974529103,BENIGN
36770.0,552599.7194758012,301.0,147.0,590630.3781885104,558814.2550774495,415.84173484100677,12.510037460222144,946.284838703852,44.76313571180624,229279.4254778692,6066.540160976488,4424.1441206408035,4449.335972823126,33699.54330422239,80490.32167874204,0.0,1.0,129.64576430562752,90.12757408413171,BENIGN
37229.0,650783.1325000704,335.0,161.0,459103.3132815039,557044.43544038,824.6300287625846,21.9212633601956,913.2687069127502,21.87577949515835,294287.1960136525,4041.895775657866,4804.39291061715,7065.340490397956,42835.40143535645,47445.2203755446,0.0,0.0,75.27624656864572,100.18853979203092,BENIGN
17592.0,533274.3886075596,245.0,350.0,370504.7880518411,708514.0610783286,1073.4804531475272,30.305147358157893,1014.9848033988359,39.4316762283814,532223.631578266,6088.948996951614,3454.309639354855,5729.746969849829,26214.95441580052,76508.18968086611,1.0,0.0,93.1144605007026,68.99726131634492,BENIGN
39060.0,360915.4264480032,369.0,247.0,338513.65940658597,600551.5823829451,1036.5837237719054,35.75606996508505,828.5886812208715,43.095857791133525,536062.3808220475,5297.731305676549,6262.536378751904,6896.802106348137,60294.82916560453,43687.553263947535,0.0,0.0,88.3915594556204,120.96160397234983,MALICIOUS
29767.0,541150.5748036089,252.0,192.0,355925.60762204474,299722.6216470332,561.9792354704168,42.1641019646719,1039.8070969057032,36.697040540430216,415481.4121815148,5983.448063663048,5013.465952221409,7553.131362700614,47433.62038120781,54186.33120326862,1.0,1.0,100.47083571738015,23.56158700514207,MALICIOUS
16530.0,369432.6636972859,380.0,238.0,662819.5246502513,285690.531353331,868.7482043039945,41.86742894414933,299.84896936049074,47.34348158376862,430088.88580847526,3599.6578549496744,3909.188493039477,8102.770984945624,34868.97394530337,37307.265169868944,0.0,1.0,46.75479292247176,141.938391225081,BENIGN
46237.0,560197.152928029,152.0,374.0,452580.66157737334,664056.6952705575,933.5232200735112,28.843625516879115,1074.3809040735707,44.93362014419717,569957.784533254,4959.166295924295,2925.520009877976,5100.434532095398,35385.88238108915,21585.792765785474,0.0,1.0,114.1202793806989,127.12345663433074,BENIGN
38996.0,402452.9850356347,329.0,216.0,298565.1122157964,456916.0619351871,970.0312911152968,30.855872564682777,512.1130682607482,21.219330215280795,537369.9125766787,6139.782009163042,3994.7667309873373,3981.893244115502,32054.29614537443,65935.28021073739,0.0,0.0,71.09069199540798,131.49103760246334,MALICIOUS
34465.0,616951.5422937347,278.0,293.0,640291.623051239,415822.11866197706,879.0060689525845,34.07695749165914,1021.4195825416324,40.08450256692083,405862.0074009472,4145.729479238003,2263.9497713267137,5976.32535528925,67791.706919155,54330.98138088477,1.0,0.0,128.45199678212578,73.57891145460418,MALICIOUS
38870.0,381237.47812266485,341.0,285.0,596797.6153134393,539704.7068564973,829.9371134027044,6.656190957266917,851.8877539226877,15.517345784903775,535372.4555413394,3404.7310489344977,3553.938961038989,8016.978325283953,72340.66742095664,25106.696488325546,1.0,1.0,100.49425191295344,98.21267650175149,BENIGN
38692.0,441274.2342214198,280.0,179.0,458841.7057556814,677431.1057246827,439.06822421786006,29.79421893991097,580.2966149575241,34.31562313986615,481674.245206184,4640.936433970307,3675.1583474777353,8466.148304498805,32852.113004752806,24942.35728875566,0.0,0.0,85.53001726467126,115.05017625992818,BENIGN
24573.0,252145.2706064712,348.0,207.0,452844.2054449388,157173.96748725954,913.7744179974155,9.535665214040913,182.02979776049767,22.790711637198896,394273.1348400201,4965.538693474001,2576.961315267513,7053.062164013243,71587.84965945984,45993.425956292944,0.0,0.0,90.982493584101,79.09425300872775,MALICIOUS
44706.0,521568.4414773871,298.0,186.0,444147.1602506138,653080.523205085,657.5539921572814,12.570321767741143,797.1650918877493,40.27851372865648,365231.29776427627,3568.2291628801718,5748.431101942515,6598.807378237714,51717.45152052757,34804.03260768447,0.0,0.0,133.99816209706418,72.47688630883812,MALICIOUS
36106.0,503743.55096185405,450.0,228.0,396857.167075543,405936.4266580558,953.2978259020268,31.56915084442494,942.2216357861226,18.720343268437393,494092.232598826,1312.4511842975276,6328.382735958747,6961.823672101333,51018.98429976915,41121.82282228849,0.0,0.0,92.32007423145,63.26463885144691,MALICIOUS
36245.0,344684.4061398226,318.0,330.0,591013.9544819894,766923.6326732947,971.4094564844704,25.300416742122444,982.0077301633723,39.06171018098377,507494.6577441882,5543.972808973999,2284.6072221313516,7349.132258422322,53727.567646185424,70994.23469358284,0.0,0.0,122.41007325322484,103.53147388156792,BENIGN
41505.0,515769.2273140052,337.0,175.0,504985.69212603697,523733.85168262187,835.5543195863014,42.03246653969618,894.6456832306063,50.024039603663375,339501.9643229671,5618.793701291158,4204.883738629339,5618.2386081925715,62827.017433188514,48967.55392888427,0.0,0.0,94.4704285680887,101.00281030529126,BENIGN
55261.0,374484.6237487574,205.0,252.0,266809.8405946625,882346.691360074,608.4087134260967,30.370016043179653,975.9487022983851,30.91656285803492,483910.9237286157,1683.1603706640249,5443.943391432149,4782.845020297831,55389.787004956284,62015.087414328395,0.0,1.0,103.16977338062887,65.72818791807451,MALICIOUS
28117.0,271844.9442860288,313.0,216.0,462075.2201571994,466724.1317429434,746.8036248717992,33.257206675387685,650.1980320805765,24.472164065033777,316070.3006155453,4221.110540557994,5105.261001457292,6737.883479909415,31364.397847058117,46446.31849523635,0.0,0.0,100.48641182344728,72.13461540285391,BENIGN
44316.0,597692.3111076489,313.0,170.0,409889.065897969,496900.27001874754,868.6256877633004,10.75963703477487,587.360680317693,36.788626060535115,448572.88068618445,3324.216551347005,2043.0625498619354,5659.017003775357,38710.11339424095,37703.885175325966,1.0,0.0,100.91827699437775,37.30267585223197,MALICIOUS
34073.0,508664.95638660213,339.0,132.0,342187.5339388359,498817.74637070467,703.8013263077864,25.864484922196283,390.9563008860446,32.080856864176226,403032.7813747217,5221.537312112282,5532.679928278749,4912.15477699632,56527.049311457624,40476.597118871236,1.0,0.0,129.1595238994118,60.78471545833103,MALICIOUS
38902.0,628421.0300996643,348.0,84.0,645220.1230007559,234726.91358556095,257.50886359284954,27.34938755222607,1099.2545006423265,51.86759999236294,258910.55018601377,6878.511235415565,6464.832111636879,5375.422239805453,39307.51964270911,49682.22758067936,1.0,0.0,130.4744741524669,101.54676660923371,BENIGN
29036.0,585564.8963294341,264.0,243.0,314070.81380955956,511732.23385383293,707.2788111696042,28.744909660715173,859.2147084677108,42.28484621684404,493911.26656016795,6228.184460731953,4220.3123701101895,6642.188575504751,56980.12801866165,59892.593958460195,0.0,0.0,126.38401424369434,54.357462723519504,MALICIOUS
44204.0,643783.1952659833,206.0,283.0,237585.94076379683,299638.1319483144,1003.9649141490858,29.051402019182326,907.290066022881,36.84467610617711,488067.87305585184,3344.650316226857,4508.481087268027,3533.718323501647,23386.269347133646,50614.388265630325,0.0,0.0,98.82176411894945,73.51620707754388,BENIGN
43474.0,436887.92758566356,381.0,156.0,667581.385275092,487592.17835285,817.8861065415973,30.519349059321165,912.0413682315623,31.62693869861815,296667.9769056911,6640.000435169691,3558.6666648344944,3013.7572888753616,46473.20435521118,68511.39884573176,1.0,0.0,105.6714584986129,121.39075323180666,BENIGN
35964.0,495509.35088545346,271.0,369.0,468831.1806224192,388330.3386696601,876.568079087022,44.69174520416163,1228.3613752378524,19.529640573928997,590881.1803179897,1876.3812366822208,2272.7372853841493,4190.2145755882675,21441.528433353527,69908.58919831758,0.0,0.0,60.27163343550179,116.35616814841947,BENIGN
31214.0,472361.2076505063,367.0,221.0,514817.50504939194,532500.725586105,584.5295950304074,35.54055407256094,947.7011247987499,27.842148613467838,500207.1542679066,3773.5444348796987,4780.858972838942,6741.903178510411,49199.46548283403,72411.10826423408,1.0,0.0,87.91867484194509,92.50121907991098,MALICIOUS
37577.0,382000.3415276437,234.0,242.0,499391.1440391156,537038.8524382055,484.70285099483687,35.23972724311057,655.9069770595264,30.619013620591605,498388.42436959216,6266.105764853417,2498.0354409703414,5805.47494391245,72076.72494117632,41757.3163509833,0.0,0.0,114.46923878282993,123.08024290118098,BENIGN
39520.0,682002.1567927467,329.0,285.0,433273.2853953678,467144.52685765363,1118.132482273033,23.468128251346798,1348.7886295766334,38.56743306685519,506618.1658355392,5474.486245517227,4137.15941225392,5998.812343872279,45148.30159670893,57850.36876683021,1.0,0.0,108.2258560821383,83.46544130926794,MALICIOUS
29637.0,559273.7203069038,307.0,209.0,576407.7031355391,854875.2810621824,599.9336753964519,40.12938554382839,980.5975391029125,40.292725590670784,417768.2514064824,6184.553009509475,5050.240728496814,6711.154658705825,41340.70335017272,65526.804692156984,1.0,0.0,96.72444863029804,122.30980416219506,MALICIOUS
26676.0,528467.7824337678,315.0,317.0,390420.219295552,601028.8764286718,975.141438054612,9.383891141325144,1133.5374498777453,37.02095558230842,455478.2688369747,3162.7915192332216,4142.277383720197,4665.667472220335,45578.10277523008,48816.54610774875,0.0,0.0,70.47662831770307,92.82076441833226,BENIGN
55149.0,341207.7968913637,272.0,239.0,412061.4740070521,352280.69956681307,755.1407238597724,30.59605716879208,717.3449628893827,41.994531015898794,457005.1477852009,930.079633577563,4982.729622566471,4143.794454193148,72636.80256315916,28743.142848847823,0.0,1.0,98.02651376092007,83.93621190764856,BENIGN
